Year,Datetime,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name
1962.0,31 May 1962 - 15:00 ,Group 3,Czechoslovakia,1.0,0.0,Spain
1962.0,31 May 1962 - 15:00 ,Group 4,Hungary,2.0,1.0,England
1962.0,31 May 1962 - 15:00 ,Group 2,Germany FR,0.0,0.0,Italy
1962.0,02 Jun 1962 - 15:00 ,Group 1,Yugoslavia,3.0,1.0,Uruguay
1962.0,02 Jun 1962 - 15:00 ,Group 3,Brazil,0.0,0.0,Czechoslovakia
1962.0,02 Jun 1962 - 15:00 ,Group 4,England,3.0,1.0,Argentina
1962.0,02 Jun 1962 - 15:00 ,Group 2,Chile,2.0,0.0,Italy
1962.0,03 Jun 1962 - 15:00 ,Group 1,Soviet Union,4.0,4.0,Colombia
1962.0,03 Jun 1962 - 15:00 ,Group 3,Spain,1.0,0.0,Mexico
1962.0,03 Jun 1962 - 15:00 ,Group 4,Hungary,6.0,1.0,Bulgaria
1962.0,03 Jun 1962 - 15:00 ,Group 2,Germany FR,2.0,1.0,Switzerland
1962.0,06 Jun 1962 - 15:00 ,Group 1,Soviet Union,2.0,1.0,Uruguay
1962.0,06 Jun 1962 - 15:00 ,Group 3,Brazil,2.0,1.0,Spain
1962.0,06 Jun 1962 - 15:00 ,Group 4,Hungary,0.0,0.0,Argentina
1962.0,06 Jun 1962 - 15:00 ,Group 2,Germany FR,2.0,0.0,Chile
1962.0,07 Jun 1962 - 15:00 ,Group 1,Yugoslavia,5.0,0.0,Colombia
1962.0,07 Jun 1962 - 15:00 ,Group 3,Mexico,3.0,1.0,Czechoslovakia
1962.0,07 Jun 1962 - 15:00 ,Group 4,England,0.0,0.0,Bulgaria
1962.0,07 Jun 1962 - 15:00 ,Group 2,Italy,3.0,0.0,Switzerland
1962.0,10 Jun 1962 - 14:30 ,Quarter-finals,Chile,2.0,1.0,Soviet Union
1962.0,10 Jun 1962 - 14:30 ,Quarter-finals,Brazil,3.0,1.0,England
1962.0,10 Jun 1962 - 14:30 ,Quarter-finals,Czechoslovakia,1.0,0.0,Hungary
1962.0,10 Jun 1962 - 14:30 ,Quarter-finals,Yugoslavia,1.0,0.0,Germany FR
1962.0,13 Jun 1962 - 14:30 ,Semi-finals,Czechoslovakia,3.0,1.0,Yugoslavia
1962.0,13 Jun 1962 - 14:30 ,Semi-finals,Brazil,4.0,2.0,Chile
1962.0,16 Jun 1962 - 14:30 ,Match for third place,Chile,1.0,0.0,Yugoslavia
1962.0,17 Jun 1962 - 14:30 ,Final,Brazil,3.0,1.0,Czechoslovakia
1966.0,11 Jul 1966 - 19:30 ,Group 1,England,0.0,0.0,Uruguay
1966.0,12 Jul 1966 - 19:30 ,Group 2,Germany FR,5.0,0.0,Switzerland
1966.0,12 Jul 1966 - 19:30 ,Group 3,Brazil,2.0,0.0,Bulgaria
1966.0,12 Jul 1966 - 19:30 ,Group 4,Soviet Union,3.0,0.0,Korea DPR
1966.0,13 Jul 1966 - 19:30 ,Group 1,France,1.0,1.0,Mexico
1966.0,13 Jul 1966 - 19:30 ,Group 3,Portugal,3.0,1.0,Hungary
