Country Name,Country Code,Series Name,2023 [YR2023]
Benin,BEN,"Interest rate spread (lending rate minus deposit rate, %)",..
Benin,BEN,Taxes on exports (% of tax revenue),..
Benin,BEN,"Taxes on income, profits and capital gains (% of revenue)",..
Benin,BEN,"Revenue, excluding grants (% of GDP)",..
Benin,BEN,Social contributions (% of revenue),..
Benin,BEN,Interest payments (% of revenue),..
Bermuda,BMU,Exports of goods and services (current US$),..
Bermuda,BMU,Exports of goods and services (% of GDP),..
Bermuda,BMU,GDP (current US$),..
Bermuda,BMU,GDP per capita (current US$),..
Bermuda,BMU,Gross domestic savings (% of GDP),..
Bermuda,BMU,Gross savings (% of GDP),..
Bermuda,BMU,Imports of goods and services (% of GDP),..
Bermuda,BMU,"Inflation, GDP deflator (annual %)",..
Bermuda,BMU,Tax revenue (% of GDP),..
Bermuda,BMU,"Unemployment, total (% of total labor force) (national estimate)",..
Bermuda,BMU,"Life expectancy at birth, total (years)",..
Bermuda,BMU,"Interest rate spread (lending rate minus deposit rate, %)",..
Bermuda,BMU,Taxes on exports (% of tax revenue),..
Bermuda,BMU,"Taxes on income, profits and capital gains (% of revenue)",..
Bermuda,BMU,"Revenue, excluding grants (% of GDP)",..
Bermuda,BMU,Social contributions (% of revenue),..
Bermuda,BMU,Interest payments (% of revenue),..
Bhutan,BTN,Exports of goods and services (current US$),..
Bhutan,BTN,Exports of goods and services (% of GDP),..
Bhutan,BTN,GDP (current US$),..
Bhutan,BTN,GDP per capita (current US$),..
Bhutan,BTN,Gross domestic savings (% of GDP),..
Bhutan,BTN,Gross savings (% of GDP),..
Bhutan,BTN,Imports of goods and services (% of GDP),..
Bhutan,BTN,"Inflation, GDP deflator (annual %)",..
Bhutan,BTN,Tax revenue (% of GDP),..
Bhutan,BTN,"Unemployment, total (% of total labor force) (national estimate)",3.126
Bhutan,BTN,"Life expectancy at birth, total (years)",..
Bhutan,BTN,"Interest rate spread (lending rate minus deposit rate, %)",8.52
Bhutan,BTN,Taxes on exports (% of tax revenue),..
Bhutan,BTN,"Taxes on income, profits and capital gains (% of revenue)",..
Bhutan,BTN,"Revenue, excluding grants (% of GDP)",..
Bhutan,BTN,Social contributions (% of revenue),..
Bhutan,BTN,Interest payments (% of revenue),..
Bolivia,BOL,Exports of goods and services (current US$),12507893618
Bolivia,BOL,Exports of goods and services (% of GDP),27.28012912
Bolivia,BOL,GDP (current US$),45849832906
Bolivia,BOL,GDP per capita (current US$),3700.978338
Bolivia,BOL,Gross domestic savings (% of GDP),13.11118716
Bolivia,BOL,Gross savings (% of GDP),13.48458453
Bolivia,BOL,Imports of goods and services (% of GDP),31.56913918
Bolivia,BOL,"Inflation, GDP deflator (annual %)",1.699553215
Bolivia,BOL,Tax revenue (% of GDP),..
Bolivia,BOL,"Unemployment, total (% of total labor force) (national estimate)",3.024
Bolivia,BOL,"Life expectancy at birth, total (years)",..
Bolivia,BOL,"Interest rate spread (lending rate minus deposit rate, %)",5.46436066
Bolivia,BOL,Taxes on exports (% of tax revenue),..
Bolivia,BOL,"Taxes on income, profits and capital gains (% of revenue)",..
Bolivia,BOL,"Revenue, excluding grants (% of GDP)",..
Bolivia,BOL,Social contributions (% of revenue),..
Bolivia,BOL,Interest payments (% of revenue),..
Bosnia and Herzegovina,BIH,Exports of goods and services (current US$),11939049957
Bosnia and Herzegovina,BIH,Exports of goods and services (% of GDP),44.12899198
Bosnia and Herzegovina,BIH,GDP (current US$),27054889363
Bosnia and Herzegovina,BIH,GDP per capita (current US$),8426.09111
Bosnia and Herzegovina,BIH,Gross domestic savings (% of GDP),8.191426509
Bosnia and Herzegovina,BIH,Gross savings (% of GDP),18.15246839
Bosnia and Herzegovina,BIH,Imports of goods and services (% of GDP),56.89710957
Bosnia and Herzegovina,BIH,"Inflation, GDP deflator (annual %)",5.530501969
Bosnia and Herzegovina,BIH,Tax revenue (% of GDP),..
Bosnia and Herzegovina,BIH,"Unemployment, total (% of total labor force) (national estimate)",10.668
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",..
Bosnia and Herzegovina,BIH,"Interest rate spread (lending rate minus deposit rate, %)",2.936145228
Bosnia and Herzegovina,BIH,Taxes on exports (% of tax revenue),..
Bosnia and Herzegovina,BIH,"Taxes on income, profits and capital gains (% of revenue)",..
Bosnia and Herzegovina,BIH,"Revenue, excluding grants (% of GDP)",..
Bosnia and Herzegovina,BIH,Social contributions (% of revenue),..
Bosnia and Herzegovina,BIH,Interest payments (% of revenue),..
Botswana,BWA,Exports of goods and services (current US$),6141387614
Botswana,BWA,Exports of goods and services (% of GDP),31.6635491
Botswana,BWA,GDP (current US$),19395765126
Botswana,BWA,GDP per capita (current US$),7249.799326
Botswana,BWA,Gross domestic savings (% of GDP),28.1114262
Botswana,BWA,Gross savings (% of GDP),34.48093249
Botswana,BWA,Imports of goods and services (% of GDP),35.71008683
Botswana,BWA,"Inflation, GDP deflator (annual %)",2.125860244
Botswana,BWA,Tax revenue (% of GDP),..
Botswana,BWA,"Unemployment, total (% of total labor force) (national estimate)",23.381
Botswana,BWA,"Life expectancy at birth, total (years)",..
Botswana,BWA,"Interest rate spread (lending rate minus deposit rate, %)",4.753325926
Botswana,BWA,Taxes on exports (% of tax revenue),..
Botswana,BWA,"Taxes on income, profits and capital gains (% of revenue)",..
Botswana,BWA,"Revenue, excluding grants (% of GDP)",..
Botswana,BWA,Social contributions (% of revenue),..
Botswana,BWA,Interest payments (% of revenue),..
Brazil,BRA,Exports of goods and services (current US$),3.93657E+11
Brazil,BRA,Exports of goods and services (% of GDP),18.11027942
Brazil,BRA,GDP (current US$),2.17367E+12
Brazil,BRA,GDP per capita (current US$),10043.62392
Brazil,BRA,Gross domestic savings (% of GDP),18.4525996
Brazil,BRA,Gross savings (% of GDP),15.58974482
Brazil,BRA,Imports of goods and services (% of GDP),15.74366717
Brazil,BRA,"Inflation, GDP deflator (annual %)",4.658994759
Brazil,BRA,Tax revenue (% of GDP),..
Brazil,BRA,"Unemployment, total (% of total labor force) (national estimate)",7.947
Brazil,BRA,"Life expectancy at birth, total (years)",..
Brazil,BRA,"Interest rate spread (lending rate minus deposit rate, %)",31.46123433
Brazil,BRA,Taxes on exports (% of tax revenue),..
Brazil,BRA,"Taxes on income, profits and capital gains (% of revenue)",..
Brazil,BRA,"Revenue, excluding grants (% of GDP)",..
Brazil,BRA,Social contributions (% of revenue),..
Brazil,BRA,Interest payments (% of revenue),..
British Virgin Islands,VGB,Exports of goods and services (current US$),..
British Virgin Islands,VGB,Exports of goods and services (% of GDP),..
British Virgin Islands,VGB,GDP (current US$),..
British Virgin Islands,VGB,GDP per capita (current US$),..
British Virgin Islands,VGB,Gross domestic savings (% of GDP),..
British Virgin Islands,VGB,Gross savings (% of GDP),..
British Virgin Islands,VGB,Imports of goods and services (% of GDP),..
British Virgin Islands,VGB,"Inflation, GDP deflator (annual %)",..
British Virgin Islands,VGB,Tax revenue (% of GDP),..
British Virgin Islands,VGB,"Unemployment, total (% of total labor force) (national estimate)",..
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",..
British Virgin Islands,VGB,"Interest rate spread (lending rate minus deposit rate, %)",..
British Virgin Islands,VGB,Taxes on exports (% of tax revenue),..
British Virgin Islands,VGB,"Taxes on income, profits and capital gains (% of revenue)",..
British Virgin Islands,VGB,"Revenue, excluding grants (% of GDP)",..
British Virgin Islands,VGB,Social contributions (% of revenue),..
British Virgin Islands,VGB,Interest payments (% of revenue),..
Brunei Darussalam,BRN,Exports of goods and services (current US$),11578413348
