"nume_tara","cod_tara","exporturi","exporturi (%pib)","pib","pib/nr_loc","economie_interna (%pib)","consum_intern (%pib)","investitii_publice (%pib)","inflatie_consum","investitii_straini (%pib)","urbanizare"
"New Caledonia","NCL",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,30.1442407133333,42.1708146,5.001720395,3.633,6.75182415233333
"New Zealand","NZL",26970668446.5,39.146212095,2.53466e+11,57712.1210299999,21.18721359,30.1825237466667,42.1708146,5.400263733,3.729,7.05639821166667
"Nicaragua","NIC",8165537908,45.79863879,17829215284,2530.291072,0.324250881200001,30.22080678,59.06993496,10.66791806,6.09025,7.360972271
"Niger","NER",1484412963,12.948574106,16819170421,618.287229,28.48657126,28.32991068,21.59478534,3.387917923,8.4515,6.7664831605
"Nigeria","NGA",26970668446.5,39.146212095,3.62815e+11,1621.123515,21.18721359,26.43901458,42.1708146,12.62186923,10.81275,6.17199405
"North Macedonia","MKD",10745270812,85.160753714,14761237042,8146.467975,0.324250881200001,24.54811848,86.567204206,3.601019788,11.1512,3.626884618
"Northern Mariana Islands","MNP",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,33.89344044,42.1708146,5.001720395,8.3735,3.2705256425
"Norway","NOR",682133600000,47.17844247,4.85513e+11,57712.1210299999,39.969835204,36.017892276,32.46929644,-7.3713722488,3.573,2.914166667
"Oman","OMN",26970668446.5,39.146212095,1.08192e+11,23295.32996,21.18721359,28.09677628,42.1708146,-7.3713722488,4.34925,3.9320000002
"Pakistan","PAK",35146437874,12.948574106,3.38368e+11,1407.021351,0.324250881200001,12.95479016,17.71504531,26.77868896,5.1255,4.9498333334
"Palau","PLW",26970668446.5,39.146212095,263020733.7,14565.33025,21.18721359,14.7403728525,42.1708146,8.052047038,5.90175,5.9676666666
"Panama","PAN",26970668446.5,39.146212095,83382400000,18661.76733,21.18721359,16.525955545,42.1708146,1.535415764,6.678,6.9854999998
"Papua New Guinea","PNG",26970668446.5,39.146212095,30932496250,2994.453327,21.18721359,18.3115382375,42.1708146,-2.515028679,6.236,8.003333333
"Paraguay","PRY",18276881382,42.54765167,42956263544,6260.455191,21.7148609,20.09712093,40.44112421,2.06875531,5.794,7.06586904728572
"Peru","PER",72490014226,27.08861518,2.67603e+11,7789.870975,22.0762382,19.49482977,23.82089314,6.566343631,4.899,6.12840476157143
"Philippines","PHL",682133600000,26.65369179,4.37146e+11,3725.551205,0.324250881200001,27.31602433,40.74292866,4.596485062,3.821,5.19094047585714
"Poland","POL",682133600000,57.81424617,1.835396e+12,22112.86157,24.14929371,19.60710105,51.72369908,10.72823571,2.743,4.25347619014286
"Portugal","PRT",682133600000,47.44143467,2.8708e+11,27275.11155,20.42165346,20.51783715,46.60908348,7.13507631,6.509,3.31601190442857
"Puerto Rico","PRI",63579200000,53.92532631,1.17902e+11,36779.05949,12.92468425,19.9045758766667,47.80161201,3.235459438,6.20333333333333,2.37854761871429
"Qatar","QAT",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,19.2913146033333,42.1708146,5.001720395,5.89766666666667,1.441083333
"Romania","ROU",682133600000,39.12691096,3.51003e+11,18419.41871,20.87279258,18.67805333,43.90948605,12.16513001,5.592,2.884243718
"Russian Federation","RUS",682133600000,23.083003,1.835396e+12,13817.0459,39.969835204,29.92867114,18.74552218,7.073601566,3.076,4.054166667
"Rwanda","RWA",3583751986,25.42070363,14097768648,1000.218923,0.324250881200001,12.52681829,40.56333788,10.13012712,11.1512,6.406594586
"Samoa","WSM",269794411.1,28.88280848,934100336.3,4139.029587,0.324250881200001,23.04725201,62.17466986,8.830519286,10.266,6.527587637
"San Marino","SMR",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,26.18704996,42.1708146,5.001720395,8.18,3.633491667
"Sao Tome and Principe","STP",26970668446.5,39.146212095,603240749,2601.790547,21.18721359,29.32684791,42.1708146,8.656562564,6.094,15.665681064
"Saudi Arabia","SAU",682133600000,34.74920044,1.835396e+12,28894.96335,39.969835204,32.46664586,27.37780746,-2.964886675,4.008,15.665681064
"Senegal","SEN",7927604366,25.56138465,31013986429,1745.972068,29.36679313,25.9462745,43.87640304,5.299619896,6.138,11.5750582915
"Serbia","SRB",45024561752,59.88333973,75187125427,11360.95951,16.86978378,19.42590314,64.38742898,12.00273587,8.268,9.60078033725
"Seychelles","SYC",1840535504,85.160753714,2141450171,17879.23965,0.324250881200001,11.746203195,86.567204206,-0.932509493,2.934,7.626502383
"Sierra Leone","SLE",1541853676,40.47038242,3809832237,433.3741743,0.324250881200001,22.0137718205,67.28020895,26.77868896,3.189,15.665681064
"Singapore","SGP",682133600000,85.160753714,5.01428e+11,57712.1210299999,39.969835204,40.86718772,86.567204206,-3.069029944,3.444,12.6459863904286
"Sint Maarten (Dutch part)","SXM",26970668446.5,39.146212095,1623165683,39432.63812,21.18721359,29.22399,42.1708146,2.127659574,4.6425,11.3497108808571
"Slovak Republic","SVK",682133600000,85.160753714,1.32794e+11,24470.23854,20.95126082,17.58079228,86.567204206,10.13186099,5.841,10.0534353712857
"Slovenia","SVN",57301457874,85.160753714,68216781411,32163.51142,27.47198594,25.0052868,86.567204206,8.88245136,3.652,8.75715986171429
"Solomon Islands","SLB",26970668446.5,39.146212095,1631286701,2203.179126,21.18721359,21.2133706366667,42.1708146,3.890406753,11.1512,7.46088435214286
"Somalia","SOM",2089548840,17.89027912,11679800110,643.7500288,0.324250881200001,17.4214544733333,86.567204206,10.21466912,11.1512,6.16460884257143
"South Africa","ZAF",682133600000,33.02311838,3.77782e+11,6253.161613,15.56301991,13.62953831,32.69933806,4.524763557,11.1512,4.868333333
"South Sudan","SSD",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,18.244616885,42.1708146,5.001720395,11.1512,15.665681064
"Spain","ESP",682133600000,38.95596725,1.835396e+12,32676.98371,24.43386605,22.85969546,34.83246676,5.927784932,11.1512,12.3785945133333
"Sri Lanka","LKA",17202069043,20.39202142,84356860421,3827.964806,23.80794062,27.22818201,21.88569865,26.77868896,11.608,8.52324050666667
"St. Kitts and Nevis","KNA",26970668446.5,39.146212095,1077033111,22553.30565,21.18721359,28.1269962614286,42.1708146,6.10076778,11.037,4.6678865
"St. Lucia","LCA",26970668446.5,39.146212095,2519925939,13980.09408,21.18721359,29.0258105128571,42.1708146,4.19512509,10.466,5.17315975
"St. Martin (French part)","MAF",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,29.9246247642857,42.1708146,5.001720395,9.895,5.548686875
"St. Vincent and the Grenadines","VCT",26970668446.5,39.146212095,1065962963,10279.49394,21.18721359,30.8234390157143,42.1708146,4.033144145,9.324,5.924214
"Sudan","SDN",1272649947,12.948574106,1.09327e+11,2272.485596,0.324250881200001,31.7222532671429,19.888063454,26.77868896,8.753,5.7124790635
"Suriname","SUR",26970668446.5,39.146212095,3782437296,6069.028901,21.18721359,32.6210675185714,42.1708146,26.77868896,8.182,5.500744127
"Sweden","SWE",682133600000,53.9821811,1.835396e+12,57712.1210299999,31.15491751,33.51988177,49.58464834,5.618097883,7.611,3.636407268
